trial,slot1,slot2,slot3,jackpot
1,⭐,🍋,7️⃣,False
2,🍋,⭐,⭐,False
3,💎,🍒,⭐,False
4,7️⃣,7️⃣,🍋,False
5,7️⃣,⭐,7️⃣,False
6,7️⃣,💎,💎,False
7,⭐,7️⃣,💎,False
8,⭐,💎,💎,False
9,💎,7️⃣,💎,False
10,🍋,🍋,🍋,True
11,⭐,⭐,7️⃣,False
12,🍒,💎,7️⃣,False
13,7️⃣,🍋,🍒,False
14,🍋,🍋,💎,False
15,⭐,💎,⭐,False
16,⭐,🍋,7️⃣,False
17,⭐,7️⃣,💎,False
18,💎,🍒,🍋,False
19,⭐,7️⃣,⭐,False
20,7️⃣,7️⃣,🍋,False
21,💎,🍋,🍒,False
22,💎,7️⃣,7️⃣,False
23,🍒,7️⃣,💎,False
24,🍋,7️⃣,⭐,False
25,⭐,7️⃣,🍒,False
26,⭐,⭐,🍋,False
27,7️⃣,💎,7️⃣,False
28,🍋,🍋,🍒,False
29,💎,7️⃣,⭐,False
30,⭐,7️⃣,7️⃣,False
31,7️⃣,💎,🍒,False
32,🍒,🍒,⭐,False
33,💎,7️⃣,7️⃣,False
34,⭐,7️⃣,💎,False
35,7️⃣,💎,7️⃣,False
36,🍋,🍒,🍒,False
37,🍋,🍋,💎,False
38,💎,7️⃣,🍋,False
39,⭐,7️⃣,🍒,False
40,🍋,⭐,7️⃣,False
41,⭐,💎,🍋,False
42,🍋,7️⃣,⭐,False
43,💎,🍒,⭐,False
44,7️⃣,🍒,💎,False
45,7️⃣,⭐,7️⃣,False
46,🍋,7️⃣,⭐,False
47,🍒,7️⃣,🍋,False
48,🍒,⭐,⭐,False
49,🍋,🍒,⭐,False
50,7️⃣,7️⃣,7️⃣,True
51,💎,7️⃣,7️⃣,False
52,⭐,🍋,🍋,False
53,💎,🍋,⭐,False
54,🍋,💎,🍒,False
55,⭐,⭐,🍋,False
56,⭐,🍒,🍋,False
57,⭐,💎,⭐,False
58,7️⃣,7️⃣,7️⃣,True
59,🍒,7️⃣,🍒,False
60,🍒,7️⃣,🍋,False
61,🍒,🍋,🍒,False
62,7️⃣,⭐,7️⃣,False
63,⭐,⭐,🍋,False
64,7️⃣,💎,🍒,False
65,🍋,7️⃣,7️⃣,False
66,7️⃣,⭐,⭐,False
67,⭐,🍒,⭐,False
68,🍋,💎,⭐,False
69,💎,🍒,🍒,False
70,🍒,7️⃣,7️⃣,False
71,💎,⭐,🍋,False
72,🍋,7️⃣,7️⃣,False
73,🍋,🍒,💎,False
74,7️⃣,⭐,🍋,False
75,⭐,7️⃣,🍒,False
76,⭐,7️⃣,⭐,False
77,7️⃣,🍋,🍋,False
78,⭐,💎,🍋,False
79,🍋,⭐,7️⃣,False
80,🍒,🍒,💎,False
81,🍋,7️⃣,7️⃣,False
82,🍋,⭐,🍋,False
83,7️⃣,7️⃣,💎,False
84,🍒,⭐,7️⃣,False
85,🍒,7️⃣,🍒,False
86,⭐,7️⃣,7️⃣,False
87,🍒,7️⃣,7️⃣,False
88,💎,⭐,🍒,False
89,💎,🍋,🍋,False
90,7️⃣,7️⃣,7️⃣,True
91,💎,🍒,🍋,False
92,⭐,🍒,🍋,False
93,🍋,⭐,🍒,False
94,7️⃣,🍋,🍋,False
95,💎,7️⃣,🍋,False
96,🍋,💎,🍋,False
97,⭐,💎,🍋,False
98,🍒,⭐,🍋,False
99,💎,🍋,💎,False
100,7️⃣,🍒,💎,False
101,7️⃣,🍒,🍒,False
102,7️⃣,7️⃣,🍋,False
103,⭐,🍋,⭐,False
104,💎,🍒,🍋,False
105,🍒,7️⃣,💎,False
106,🍒,🍋,7️⃣,False
107,7️⃣,🍋,🍋,False
108,🍒,⭐,🍒,False
109,7️⃣,🍋,🍋,False
110,⭐,🍋,🍋,False
111,7️⃣,⭐,💎,False
112,⭐,🍒,⭐,False
113,🍋,7️⃣,⭐,False
114,🍋,7️⃣,💎,False
115,💎,⭐,💎,False
116,🍒,💎,7️⃣,False
117,💎,💎,🍋,False
