trial,slot1,slot2,slot3,jackpot
1,💎,🍒,🍒,False
2,💎,🍋,💎,False
3,💎,💎,⭐,False
4,⭐,🍋,7️⃣,False
5,⭐,💎,💎,False
6,7️⃣,🍋,🍋,False
7,💎,💎,🍒,False
8,⭐,💎,💎,False
9,💎,💎,7️⃣,False
10,7️⃣,💎,7️⃣,False
11,⭐,💎,🍒,False
12,⭐,⭐,🍋,False
13,🍋,🍒,7️⃣,False
14,🍒,💎,💎,False
15,💎,🍋,💎,False
16,💎,💎,🍋,False
17,7️⃣,🍋,⭐,False
18,🍒,🍋,7️⃣,False
19,🍋,💎,⭐,False
20,⭐,7️⃣,💎,False
21,💎,⭐,7️⃣,False
22,💎,7️⃣,⭐,False
23,🍋,🍒,💎,False
24,⭐,🍋,⭐,False
25,🍋,🍋,💎,False
26,🍒,🍋,🍋,False
27,💎,🍋,💎,False
28,💎,⭐,7️⃣,False
29,🍒,🍒,⭐,False
30,💎,🍋,🍒,False
31,🍒,⭐,🍒,False
32,🍒,🍋,🍋,False
33,⭐,⭐,💎,False
34,7️⃣,7️⃣,💎,False
35,7️⃣,💎,🍋,False
36,7️⃣,🍋,🍋,False
37,⭐,🍒,🍒,False
38,🍋,⭐,🍒,False
39,💎,🍒,🍋,False
40,7️⃣,🍋,7️⃣,False
41,⭐,🍋,💎,False
42,🍒,💎,🍋,False
43,7️⃣,🍋,💎,False
44,🍒,🍒,⭐,False
45,🍒,7️⃣,7️⃣,False
46,⭐,💎,⭐,False
47,💎,💎,7️⃣,False
48,🍋,💎,💎,False
49,🍋,🍋,💎,False
50,🍒,🍒,7️⃣,False
51,⭐,⭐,7️⃣,False
52,7️⃣,🍋,⭐,False
53,💎,🍋,⭐,False
54,7️⃣,🍋,🍋,False
55,7️⃣,🍒,⭐,False
56,⭐,💎,⭐,False
57,⭐,🍋,7️⃣,False
58,7️⃣,💎,💎,False
59,7️⃣,7️⃣,💎,False
60,🍋,⭐,💎,False
61,🍋,🍒,💎,False
62,7️⃣,7️⃣,7️⃣,True
63,💎,🍒,⭐,False
64,🍋,🍋,7️⃣,False
65,🍋,💎,🍋,False
66,💎,🍋,🍋,False
67,🍋,⭐,⭐,False
68,🍋,🍒,⭐,False
69,💎,⭐,7️⃣,False
70,💎,🍒,⭐,False
71,💎,7️⃣,🍒,False
72,7️⃣,⭐,7️⃣,False
73,🍋,🍒,🍒,False
74,🍒,7️⃣,7️⃣,False
75,🍒,7️⃣,7️⃣,False
76,🍋,⭐,7️⃣,False
77,🍒,🍋,🍒,False
78,🍋,💎,🍋,False
79,⭐,🍋,💎,False
80,🍋,💎,7️⃣,False
81,⭐,🍒,🍒,False
82,🍋,🍒,💎,False
83,💎,🍒,7️⃣,False
84,💎,🍋,🍒,False
85,🍒,🍒,💎,False
86,🍋,💎,🍒,False
87,7️⃣,7️⃣,⭐,False
88,7️⃣,⭐,🍋,False
89,7️⃣,⭐,💎,False
90,🍒,🍒,💎,False
91,🍋,🍋,🍒,False
92,💎,🍋,🍒,False
93,🍋,🍋,7️⃣,False
94,🍋,🍋,💎,False
95,7️⃣,🍒,⭐,False
96,⭐,🍒,⭐,False
97,⭐,💎,7️⃣,False
98,🍋,🍋,🍋,True
99,7️⃣,⭐,💎,False
100,🍒,⭐,💎,False
