trial,slot1,slot2,slot3,jackpot
1,7️⃣,💎,💎,False
2,7️⃣,🍋,7️⃣,False
3,⭐,🍋,⭐,False
4,7️⃣,⭐,🍒,False
5,🍋,🍋,🍒,False
6,🍒,🍒,⭐,False
7,🍋,🍋,🍋,True
8,💎,⭐,7️⃣,False
9,🍒,🍒,⭐,False
10,🍒,💎,7️⃣,False
11,🍒,🍒,7️⃣,False
12,7️⃣,💎,7️⃣,False
13,🍒,⭐,💎,False
14,💎,🍋,⭐,False
15,⭐,💎,💎,False
16,⭐,💎,💎,False
17,🍋,💎,⭐,False
18,💎,⭐,🍋,False
19,💎,7️⃣,⭐,False
20,7️⃣,🍒,7️⃣,False
21,💎,🍋,🍋,False
22,🍋,⭐,🍋,False
23,💎,🍋,7️⃣,False
24,7️⃣,⭐,🍋,False
25,💎,💎,7️⃣,False
26,💎,🍋,🍋,False
27,⭐,💎,💎,False
28,🍒,🍋,🍋,False
29,💎,💎,💎,True
30,⭐,⭐,🍋,False
31,⭐,🍒,🍒,False
32,🍋,⭐,7️⃣,False
33,💎,🍒,🍋,False
34,7️⃣,7️⃣,⭐,False
35,🍋,7️⃣,🍒,False
36,💎,🍋,7️⃣,False
37,💎,🍒,🍋,False
38,🍋,🍋,🍒,False
39,🍋,💎,⭐,False
40,⭐,💎,7️⃣,False
41,7️⃣,🍋,7️⃣,False
42,⭐,⭐,🍋,False
43,🍒,💎,7️⃣,False
44,⭐,🍋,🍋,False
45,🍋,🍒,🍋,False
46,🍒,🍋,⭐,False
47,7️⃣,🍋,🍋,False
48,⭐,⭐,🍋,False
49,⭐,🍋,⭐,False
50,💎,⭐,7️⃣,False
51,⭐,🍒,🍋,False
52,🍋,⭐,⭐,False
53,7️⃣,🍋,🍋,False
54,⭐,🍒,7️⃣,False
55,⭐,🍋,⭐,False
56,⭐,🍋,🍋,False
57,7️⃣,⭐,7️⃣,False
58,7️⃣,7️⃣,🍋,False
59,🍋,⭐,⭐,False
60,🍒,🍒,💎,False
61,💎,7️⃣,🍋,False
62,⭐,7️⃣,🍋,False
63,⭐,⭐,💎,False
64,💎,7️⃣,7️⃣,False
65,🍋,⭐,💎,False
66,7️⃣,⭐,💎,False
67,🍋,💎,7️⃣,False
68,💎,⭐,💎,False
69,🍋,⭐,💎,False
70,⭐,⭐,7️⃣,False
71,7️⃣,💎,7️⃣,False
72,7️⃣,💎,🍋,False
73,⭐,7️⃣,⭐,False
74,💎,⭐,🍋,False
75,7️⃣,7️⃣,🍒,False
76,🍒,7️⃣,⭐,False
77,⭐,🍒,⭐,False
78,🍋,🍒,🍋,False
79,💎,💎,🍋,False
80,🍋,🍒,💎,False
81,🍋,⭐,💎,False
82,🍒,🍋,🍋,False
83,⭐,🍒,⭐,False
84,7️⃣,⭐,7️⃣,False
85,💎,💎,🍒,False
86,🍋,🍒,7️⃣,False
87,🍋,7️⃣,🍋,False
88,🍒,🍋,💎,False
89,⭐,🍒,🍋,False
90,🍋,⭐,🍒,False
91,⭐,🍋,⭐,False
92,🍋,🍋,🍋,True
93,🍋,🍒,💎,False
94,7️⃣,🍋,⭐,False
95,💎,🍒,🍋,False
96,🍋,💎,7️⃣,False
97,⭐,🍒,⭐,False
98,⭐,🍒,🍒,False
99,⭐,💎,💎,False
100,⭐,⭐,🍒,False
101,💎,🍒,🍋,False
102,💎,7️⃣,💎,False
103,💎,7️⃣,🍒,False
104,🍒,7️⃣,⭐,False
105,🍋,⭐,7️⃣,False
106,🍋,7️⃣,🍋,False
107,🍒,7️⃣,7️⃣,False
108,7️⃣,7️⃣,⭐,False
109,🍒,⭐,7️⃣,False
110,7️⃣,🍋,🍋,False
111,⭐,💎,⭐,False
112,🍒,🍒,7️⃣,False
113,💎,🍒,⭐,False
114,🍒,🍒,🍋,False
115,💎,🍋,💎,False
116,🍒,🍒,🍋,False
117,💎,🍋,⭐,False
118,🍋,🍒,💎,False
119,7️⃣,🍋,💎,False
120,💎,💎,⭐,False
121,🍒,7️⃣,7️⃣,False
122,7️⃣,⭐,🍋,False
123,⭐,🍒,⭐,False
124,7️⃣,⭐,7️⃣,False
125,7️⃣,⭐,🍒,False
126,7️⃣,7️⃣,🍒,False
127,💎,7️⃣,🍋,False
128,7️⃣,7️⃣,🍋,False
129,🍒,🍒,7️⃣,False
130,7️⃣,7️⃣,7️⃣,True
131,🍋,🍋,🍋,True
132,7️⃣,🍒,⭐,False
133,🍒,💎,7️⃣,False
134,🍒,🍒,💎,False
135,🍒,🍋,⭐,False
136,7️⃣,⭐,💎,False
